Date,Open,High,Low,Close,Adj Close,Volume,Day
2013-09-26,15274.41992,15387.19043,15274.41992,15328.29981,15328.29981,79050000,0
2013-09-27,15317.4502,15317.4502,15211.80957,15258.24023,15258.24023,95660000,1
2013-09-30,15249.82031,15249.82031,15086.70996,15129.66992,15129.66992,122330000,2
2013-10-01,15132.49023,15208.40039,15110.33984,15191.7002,15191.7002,82460000,3
2013-10-02,15182.65039,15182.65039,15044.70996,15133.13965,15133.13965,86090000,4
2013-10-03,15127.23047,15127.23047,14947.03027,14996.48047,14996.48047,91300000,5
2013-10-04,14994.67969,15083.99023,14972.33008,15072.58008,15072.58008,75100000,6
2013-10-07,15069.29981,15069.29981,14920.83008,14936.24023,14936.24023,79620000,7
2013-10-08,14938.04004,14938.04004,14773.46973,14776.53027,14776.53027,102690000,8
2013-10-09,14778.19043,14852.5,14719.42969,14802.98047,14802.98047,103190000,9
2013-10-10,14806.38965,15126.07031,14806.38965,15126.07031,15126.07031,106540000,10
2013-10-11,15126.51953,15237.29981,15100.12988,15237.11035,15237.11035,85730000,11
2013-10-14,15231.33008,15309.48047,15136.37988,15301.25977,15301.25977,81420000,12
2013-10-15,15300.29981,15301.91016,15161.33008,15168.00977,15168.00977,91440000,13
2013-10-16,15170.7002,15374.15039,15170.7002,15373.83008,15373.83008,92850000,14
2013-10-17,15369.45996,15376.11035,15229.01953,15371.65039,15371.65039,108490000,15
2013-10-18,15371.70996,15412.96973,15321.80957,15399.65039,15399.65039,156660000,16
2013-10-21,15401.32031,15410.17969,15362.66016,15392.2002,15392.2002,93660000,17
2013-10-22,15394.21973,15518.09961,15394.21973,15467.66016,15467.66016,107030000,18
2013-10-23,15465.33984,15465.66016,15366.19043,15413.33008,15413.33008,90630000,19
2013-10-24,15414.87012,15528.62988,15414.12988,15509.20996,15509.20996,89240000,20
2013-10-25,15523.71973,15570.59961,15512.95996,15570.28027,15570.28027,109900000,21
2013-10-28,15569.19043,15599.08984,15533.48047,15568.92969,15568.92969,92760000,22
2013-10-29,15572.20996,15683.08008,15572.20996,15680.34961,15680.34961,86600000,23
2013-10-30,15680.74023,15721,15574.51953,15618.75977,15618.75977,79170000,24
2013-10-31,15619.91992,15651.86035,15544.69043,15545.75,15545.75,114050000,25
2013-11-01,15558.00977,15649.40039,15543.25,15615.54981,15615.54981,101830000,26
2013-11-04,15621.2002,15658.90039,15588.48047,15639.12012,15639.12012,71200000,27
2013-11-05,15631.21973,15651.88965,15522.17969,15618.21973,15618.21973,91890000,28
2013-11-06,15628.71973,15750.29004,15628.71973,15746.87988,15746.87988,109200000,29
2013-11-07,15751.30957,15797.67969,15586.33008,15593.98047,15593.98047,103860000,30
2013-11-08,15591.54004,15764.29004,15579.34961,15761.78027,15761.78027,101200000,31
2013-11-11,15759.28027,15791.4502,15737.21973,15783.09961,15783.09961,58860000,32
2013-11-12,15773.15039,15793.37988,15708.29004,15750.66992,15750.66992,79260000,33
2013-11-13,15739.5,15822.98047,15672,15821.62988,15821.62988,92450000,34
2013-11-14,15806.21973,15884.99023,15798.74023,15876.21973,15876.21973,123860000,35
2013-11-15,15876.16016,15962.98047,15875.90039,15961.7002,15961.7002,126460000,36
2013-11-18,15962.71973,16030.28027,15942.16992,15976.01953,15976.01953,94860000,37
2013-11-19,15974.05957,16025.84961,15943.78027,15967.03027,15967.03027,84570000,38
2013-11-20,15971.2002,16016.84961,15865.37012,15900.82031,15900.82031,84350000,39
2013-11-21,15908.07031,16016.04004,15908.07031,16009.99023,16009.99023,79000000,40
2013-11-22,16008.70996,16068.78027,15976.26953,16064.76953,16064.76953,81000000,41
2013-11-25,16072.08984,16109.62988,16055.45996,16072.54004,16072.54004,94040000,42
2013-11-26,16070.92969,16120.25,16070.92969,16072.79981,16072.79981,107450000,43
2013-11-27,16073.37012,16107.99023,16057.33984,16097.33008,16097.33008,65730000,44
2013-11-29,16105.16016,16174.50977,16074.13965,16086.41016,16086.41016,69190000,45
2013-12-02,16087.12012,16098,15986.23047,16008.76953,16008.76953,92590000,46
2013-12-03,16004.71973,16004.71973,15859.67969,15914.62012,15914.62012,103910000,47
2013-12-04,15910.50977,15960.36035,15791.29004,15889.76953,15889.76953,111180000,48
2013-12-05,15886.5,15896.19043,15809.37012,15821.50977,15821.50977,128080000,49
2013-12-06,15825.54981,16022.34961,15825.54981,16020.2002,16020.2002,98260000,50
2013-12-09,16019.49023,16058.40039,16015.29004,16025.53027,16025.53027,91810000,51
2013-12-10,16024.12012,16029.05957,15969.53027,15973.12988,15973.12988,79420000,52
2013-12-11,15970.75,15997.21973,15827.7002,15843.53027,15843.53027,107170000,53
2013-12-12,15844.82031,15845.11035,15703.79004,15739.42969,15739.42969,105870000,54
2013-12-13,15745.66016,15792.79981,15717.91992,15755.36035,15755.36035,83180000,55
2013-12-16,15759.59961,15930.30957,15759.59961,15884.57031,15884.57031,101470000,56
2013-12-17,15884.05957,15917.95996,15836.4502,15875.25977,15875.25977,101490000,57
2013-12-18,15876.57031,16173.04004,15808.91992,16167.96973,16167.96973,129620000,58
2013-12-19,16162.50977,16194.71973,16121.54004,16179.08008,16179.08008,94980000,59
2013-12-20,16178.57031,16287.83984,16178.57031,16221.13965,16221.13965,285190000,60
2013-12-23,16225.25,16318.11035,16225.25,16294.61035,16294.61035,78930000,61
2013-12-24,16295.7002,16360.59961,16295.7002,16357.54981,16357.54981,33640000,62
2013-12-26,16370.96973,16483,16370.96973,16479.88086,16479.88086,50160000,63
2013-12-27,16486.36914,16529.00977,16461.23047,16478.41016,16478.41016,47230000,64
2013-12-30,16484.50977,16504.34961,16476.86914,16504.28906,16504.28906,54220000,65
2013-12-31,16512.38086,16588.25,16511.48047,16576.66016,16576.66016,78760000,66
2014-01-02,16572.16992,16573.07031,16416.49023,16441.34961,16441.34961,80960000,67
2014-01-03,16456.89063,16518.74023,16439.30078,16469.99023,16469.99023,72770000,68
2014-01-06,16474.03906,16532.99023,16405.51953,16425.09961,16425.09961,89380000,69
2014-01-07,16429.01953,16562.32031,16429.01953,16530.93945,16530.93945,81270000,70
2014-01-08,16527.66016,16528.88086,16416.68945,16462.74023,16462.74023,103260000,71
2014-01-09,16471.41016,16525.34961,16378.61035,16444.75977,16444.75977,83990000,72
2014-01-10,16453.61914,16487.65039,16379.01953,16437.05078,16437.05078,85190000,73
2014-01-13,16434.0293,16453.13086,16240.59961,16257.94043,16257.94043,111680000,74
